,employ_rate_change,retail,manufacturing,tech,healthcare
0,4.186236559139787,6.36,14.13,8.84,11.25
1,8.596842619745848,5.0,3.11,5.0,12.0
2,5.299726295210167,4.3,7.75,8.07,12.52
3,4.977878787878786,6.7,13.03,5.2,13.01
4,11.8713880742913,5.03,8.69,12.63,9.38
5,5.959227761485828,5.02,5.69,13.11,8.73
6,10.57,5.37,10.85,9.71,11.52
7,6.580948191593351,5.54,5.74,10.22,13.56
8,8.637038123167157,1.07,0.0,24.53,5.66
9,5.790928641251221,7.22,4.82,10.15,12.39
10,11.832658846529814,5.79,8.41,9.78,9.74
11,14.967409579667645,5.94,1.69,5.61,10.29
12,3.26130009775171,8.21,11.27,7.5,11.94
13,7.574281524926686,4.9,10.62,11.91,10.3
14,5.083264907135875,5.66,19.81,6.01,12.84
15,5.633822091886609,5.64,16.09,4.88,10.16
16,4.454115347018575,5.11,11.83,7.12,10.73
17,6.582258064516129,5.93,14.8,5.88,12.85
18,11.873509286412508,6.19,9.66,7.27,12.19
19,8.003890518084066,7.56,9.17,7.46,16.02
20,6.011182795698927,4.87,4.33,14.01,10.96
21,10.166373411534702,4.53,7.42,17.3,12.62
22,11.482238514173996,5.83,16.37,10.84,12.29
23,8.135816226783966,5.18,12.08,9.05,13.29
24,8.27852394916911,7.32,13.61,4.45,11.99
25,4.688426197458455,5.84,11.08,9.4,12.69
26,6.084125122189638,8.3,4.43,7.05,14.46
27,3.9185532746823073,5.34,9.34,6.24,13.43
28,15.610723362658845,6.7,4.5,6.97,14.64
29,9.228504398826976,7.81,11.57,10.15,12.52
30,8.151436950146627,5.99,8.06,12.17,11.38
31,8.775464320625613,6.22,3.71,11.17,11.9
32,12.782355816226783,4.51,3.86,12.01,11.18
33,6.570948191593354,5.93,10.69,9.12,9.97
34,4.251182795698924,5.84,5.83,4.74,12.61
35,6.621915933528835,5.62,14.16,7.63,13.06
36,6.1902443792766375,5.63,9.46,5.75,10.28
37,8.050039100684263,6.3,11.31,8.01,12.15
38,9.325043988269794,5.19,10.0,10.11,14.06
39,10.159608993157379,6.21,8.1,8.37,13.85
40,6.4302541544477005,6.69,13.89,7.81,9.25
41,2.730938416422287,6.88,9.23,4.39,15.29
42,5.923499511241446,6.61,11.51,7.72,14.21
43,6.745366568914958,5.38,8.52,9.94,9.01
44,3.1264125122189648,7.35,9.32,10.3,8.4
45,10.004037145650049,7.11,10.28,8.47,14.89
46,6.462179863147606,4.75,5.56,18.04,9.14
47,9.210948191593353,8.71,8.74,9.22,9.83
48,7.292531769305963,6.42,8.37,6.73,16.28
49,5.658005865102638,5.68,17.74,6.22,12.69
50,3.299178885630499,5.14,0.0,5.03,7.07
